Enroll,READING,WRITING,LISTENING,ORAL,FINAL,NIVEL,adm_administration_date
44125,23,9,15,16,C,1,9/7/19 15:00
44127,19,9,12,20,C,1,9/7/19 15:00
44128,21,11,17,15,C,1,9/7/19 15:00
44141,24,12,13,15,C,1,9/7/19 15:00
44158,24,12,15,20,B,1,9/7/19 15:00
44177,23,11,17,15,C,1,9/7/19 15:00
44188,21,10,13,15,C,1,9/7/19 15:00
44191,16,7,11,15,D,1,9/7/19 15:00
44197,23,9,13,16,C,1,9/7/19 15:00
44204,24,12,17,16,B,1,9/7/19 15:00
44212,18,9,9,11,C,1,9/7/19 15:00
44217,4,2,7,10,E,1,9/7/19 15:00
44222,23,10,16,10,D,1,9/7/19 15:00
44227,23,8,19,16,C,1,9/7/19 15:00
44255,18,9,17,16,C,1,9/7/19 15:00
44256,22,12,15,18,C,1,9/7/19 15:00
44309,17,8,14,14,C,1,9/7/19 15:00
44343,23,11,17,20,B,1,9/7/19 15:00
44353,23,12,15,20,C,1,9/7/19 15:00
44358,24,8,18,15,C,1,9/7/19 15:00
44367,19,11,16,16,C,1,9/7/19 15:00
44375,24,6,17,15,C,1,9/7/19 15:00
44381,23,8,14,11,C,1,9/7/19 15:00
44390,23,14,15,19,B,1,9/7/19 15:00
44394,23,9,16,15,C,1,9/7/19 15:00
44396,24,12,18,19,B,1,9/7/19 15:00
44417,13,11,9,5,E,1,9/7/19 15:00
44421,19,11,17,13,C,1,9/7/19 15:00
44439,13,7,9,13,D,1,9/7/19 15:00
44440,19,10,9,9,D,1,9/7/19 15:00
44446,22,15,19,14,B,1,9/7/19 15:00
44451,21,15,18,15,B,1,9/7/19 15:00
44454,24,13,14,6,D,1,9/7/19 15:00
44457,22,9,18,14,C,1,9/7/19 15:00
44458,22,13,16,13,C,1,9/7/19 15:00
44461,23,6,12,6,D,1,9/7/19 15:00
44471,23,12,16,18,B,1,9/7/19 15:00
44494,19,9,11,10,D,1,9/7/19 15:00
44495,19,12,16,8,D,1,9/7/19 15:00
44508,24,13,16,17,B,1,9/7/19 15:00
44523,24,10,16,13,C,1,9/7/19 15:00
44532,17,7,12,10,D,1,9/7/19 15:00
44542,21,5,12,6,D,1,9/7/19 15:00
44567,23,10,17,11,C,1,9/7/19 15:00
44582,18,7,8,5,E,1,9/7/19 15:00
44838,13,7,6,8,E,1,9/7/19 15:00
45341,20,12,15,16,C,1,9/7/19 15:00
45343,24,9,20,14,C,1,9/7/19 15:00
45615,13,6,9,11,D,1,9/7/19 15:00
45625,22,10,12,19,C,1,9/7/19 15:00
45631,21,14,17,12,C,1,9/7/19 15:00
45660,22,14,13,19,C,1,9/7/19 15:00
45662,8,7,10,5,E,1,9/7/19 15:00
45693,24,16,20,19,A,1,9/7/19 15:00
45597,24,13,15,17,B,1,9/7/19 15:00
45639,22,13,19,15,B,1,9/7/19 15:00
45643,12,4,8,6,E,1,9/7/19 15:00
45648,20,10,11,13,C,1,9/7/19 15:00
45690,19,11,20,20,C,1,9/7/19 15:00
45691,16,8,12,12,C,1,9/7/19 15:00
45703,23,13,14,18,C,1,9/7/19 15:00
45705,20,8,12,15,C,1,9/7/19 15:00
45706,19,6,11,12,C,1,9/7/19 15:00
45708,23,13,13,20,C,1,9/7/19 15:00
45717,19,11,17,14,C,1,9/7/19 15:00
45719,21,12,19,20,B,1,9/7/19 15:00
45769,23,10,17,15,C,1,9/7/19 15:00
45781,23,11,15,19,C,1,9/7/19 15:00
45912,23,10,18,19,C,1,9/7/19 15:00
46134,24,12,19,15,B,1,9/7/19 15:00
45993,22,11,17,17,C,1,9/7/19 15:00
46020,17,6,14,8,D,1,9/7/19 15:00
46035,22,11,16,18,C,1,9/7/19 15:00
46261,24,10,13,20,C,1,9/7/19 15:00
46143,21,13,19,18,B,1,9/7/19 15:00
44456,15,8,7,14,D,1,9/7/19 15:00
44592,23,13,13,10,D,1,9/7/19 15:00
44659,23,14,9,11,C,1,9/7/19 15:00
44685,12,7,8,11,D,1,9/7/19 15:00
44708,17,10,14,9,D,1,9/7/19 15:00
44795,6,3,4,3,E,1,9/7/19 15:00
44913,18,6,12,14,C,1,9/7/19 15:00
44968,15,5,11,12,D,1,9/7/19 15:00
44997,20,7,10,10,D,1,9/7/19 15:00
45005,24,13,18,18,A,1,9/7/19 15:00
45015,24,14,20,20,A,1,9/7/19 15:00
45018,21,5,13,17,C,1,9/7/19 15:00
45082,16,7,6,7,E,1,9/7/19 15:00
45088,22,10,18,17,C,1,9/7/19 15:00
45093,23,12,15,12,C,1,9/7/19 15:00
45107,23,13,12,17,C,1,9/7/19 15:00
45113,20,10,12,19,C,1,9/7/19 15:00
45118,20,12,14,14,C,1,9/7/19 15:00
45129,22,13,18,19,B,1,9/7/19 15:00
45163,19,12,13,12,C,1,9/7/19 15:00
45201,22,10,17,16,C,1,9/7/19 15:00
45204,9,3,10,9,E,1,9/7/19 15:00
45238,24,14,16,20,B,1,9/7/19 15:00
45239,19,10,16,14,C,1,9/7/19 15:00
45248,20,11,14,14,C,1,9/7/19 15:00
45271,21,11,17,16,C,1,9/7/19 15:00
45281,14,3,9,11,D,1,9/7/19 15:00
45309,24,14,16,16,B,1,9/7/19 15:00
45320,17,6,11,11,D,1,9/7/19 15:00
45333,22,10,18,18,C,1,9/7/19 15:00
45335,22,11,14,18,C,1,9/7/19 15:00
45345,20,9,9,12,C,1,9/7/19 15:00
45349,22,13,17,16,B,1,9/7/19 15:00
45352,23,9,17,19,C,1,9/7/19 15:00
45356,17,9,8,17,C,1,9/7/19 15:00
45613,24,12,19,19,B,1,9/7/19 15:00
45500,15,8,13,14,C,1,9/7/19 15:00
45515,19,7,13,11,C,1,9/7/19 15:00
45530,16,10,8,4,D,1,9/7/19 15:00
44278,23,14,18,14,B,1,9/7/19 15:00
45611,23,11,12,10,D,1,9/7/19 15:00
45745,23,13,20,20,A,1,9/7/19 15:00
45945,12,10,13,12,D,1,9/7/19 15:00
45969,24,15,18,20,A,1,9/7/19 15:00
45970,13,5,11,11,D,1,9/7/19 15:00
46149,19,9,13,11,C,1,9/7/19 15:00
46151,23,13,16,20,B,1,9/7/19 15:00
46167,24,14,18,15,B,1,9/7/19 15:00
46185,21,8,14,9,D,1,9/7/19 15:00
46212,22,10,17,18,C,1,9/7/19 15:00
46259,20,12,14,17,C,1,9/7/19 15:00
46243,20,6,12,10,D,1,9/7/19 15:00
44513,24,13,16,15,B,1,9/7/19 15:00
44576,24,15,18,17,B,1,9/7/19 15:00
44639,20,9,11,11,C,1,9/7/19 15:00
44809,22,10,12,20,C,1,9/7/19 15:00
44995,21,9,14,12,C,1,9/7/19 15:00
45030,22,7,14,12,C,1,9/7/19 15:00
45038,7,4,8,8,E,1,9/7/19 15:00
45045,24,12,13,12,C,1,9/7/19 15:00
45084,20,11,10,7,D,1,9/7/19 15:00
45090,21,8,12,7,D,1,9/7/19 15:00
45149,19,11,12,10,D,1,9/7/19 15:00
45212,17,9,9,10,D,1,9/7/19 15:00
45217,16,2,8,0,E,1,9/7/19 15:00
45229,23,12,11,17,C,1,9/7/19 15:00
45233,19,8,7,10,E,1,9/7/19 15:00
45244,23,12,18,19,B,1,9/7/19 15:00
45247,23,12,18,20,B,1,9/7/19 15:00
45263,23,11,9,14,C,1,9/7/19 15:00
45268,16,9,10,16,D,1,9/7/19 15:00
45332,24,15,19,20,A,1,9/7/19 15:00
45348,19,10,17,20,C,1,9/7/19 15:00
45399,23,15,18,20,A,1,9/7/19 15:00
45382,17,7,14,14,C,1,9/7/19 15:00
45494,21,12,9,18,C,1,9/7/19 15:00
45529,22,11,15,16,C,1,9/7/19 15:00
45556,15,7,12,13,D,1,9/7/19 15:00
45301,24,13,19,14,B,1,9/7/19 15:00
45560,22,10,14,11,C,1,9/7/19 15:00
45881,22,9,18,9,D,1,9/7/19 15:00
45904,22,13,16,16,B,1,9/7/19 15:00
45765,23,14,13,7,D,1,9/7/19 15:00
45795,22,12,13,7,D,1,9/7/19 15:00
45915,21,9,12,11,C,1,9/7/19 15:00
45946,23,13,17,12,C,1,9/7/19 15:00
45947,16,11,15,8,D,1,9/7/19 15:00
45955,24,12,18,15,B,1,9/7/19 15:00
45957,24,12,17,14,C,1,9/7/19 15:00
46088,23,13,13,16,C,1,9/7/19 15:00
46117,10,6,8,8,E,1,9/7/19 15:00
45997,16,10,15,14,C,1,9/7/19 15:00
46005,15,6,10,13,D,1,9/7/19 15:00
46064,23,14,18,20,A,1,9/7/19 15:00
46067,20,10,14,11,C,1,9/7/19 15:00
46152,21,9,15,9,D,1,9/7/19 15:00
46154,23,10,17,14,C,1,9/7/19 15:00
46161,24,12,16,19,B,1,9/7/19 15:00
46189,21,10,11,14,C,1,9/7/19 15:00
46223,16,4,16,9,E,1,9/7/19 15:00
46268,21,11,14,19,C,1,9/7/19 15:00
46275,20,7,15,15,C,1,9/7/19 15:00
